algorithm,source,family,representation,condition,q,k,seed,status,target_count,successes,evidence_level
md5,printable,G-P-CG,cgge,HASHONLY,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,8,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV-L,bgv,KNOWNLENGTH,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG-L,cgge,KNOWNLENGTH,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV-L,bgv,KNOWNLENGTH,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P-L,tokens,KNOWNLENGTH,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R-L,tokens,KNOWNLENGTH,12,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-BGV,bgv,HASHONLY,16,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,G-P-CG,cgge,HASHONLY,16,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,G-R-BGV,bgv,HASHONLY,16,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,printable,D-P,tokens,HASHONLY,16,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,1,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,10,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,100,0,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,1,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,10,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,100,1,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,1,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,10,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
md5,random_bytes,D-R,tokens,HASHONLY,16,100,2,BLOCKED_SPECIFICATION,,,NOT_EVALUATED
